Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"First by Stein and Rapoport: 0.05: (D, D)",2.5908333333333333,0.6061233333333333,11.0,1.0,0.5651499999999999,0.040973333333333334,0.12640666666666667,0.26747000000000004,0.9857509254460317,0.14891267204964548,0.5181867217376368,0
1,Grudger,2.531,0.5069566666666667,6.0,1.0,0.5036233333333333,0.0033333333333333335,0.13155333333333333,0.36149,1.0,0,0,0
2,First by Grofman,2.5283333333333333,0.8551,1.0,1.0,0.7125133333333333,0.1425866666666667,0.06278666666666667,0.08211333333333333,1.0,0.2826491104526113,0.2855726840999462,1.0
3,First by Davis: 10,2.5255,0.5167033333333333,5.0,1.0,0.5079533333333334,0.00875,0.12960333333333335,0.3536933333333333,0.9820417761749131,0.6910190137323186,0,0
4,Tit For Tat,2.523,0.73249,0.0,1.0,0.66164,0.07085000000000001,0.06851333333333334,0.19899666666666666,1.0,0,1.0,0
5,First by Shubik,2.521666666666667,0.63027,3.0,1.0,0.5864433333333333,0.04382666666666667,0.09802333333333334,0.27170666666666665,1.0,0,0.15332128032312764,0.12298993666128864
6,"First by Tideman and Chieruzzi: (D, D)",2.4876666666666667,0.6149933333333333,11.0,1.0,0.5979533333333333,0.01704,0.07722333333333334,0.3077833333333333,0.9970301165578315,0.03573075523935589,0.4531658780221133,0
7,First by Nydegger,2.4673333333333334,0.99581,0.0,1.0,0.8182233333333334,0.17758666666666667,0.0023333333333333335,0.0018566666666666666,0.9996639197280243,0.9894026146103974,0.5754210245403649,0.5975396825396826
8,First by Graaskamp: 0.05,2.3403333333333336,0.59615,4.0,1.0,0.44455000000000006,0.1516,0.1506033333333333,0.2532466666666667,0.9354947991828878,0.6403928402402419,0.8733030064511332,0.21546725388784238
9,"MyStrategy: [LinearRegression(), LinearRegression(), LinearRegression(), LinearRegression(), LinearRegression(), LinearRegression()], LogisticRegression(), 9",2.2888333333333333,0.8410866666666666,7.0,1.0,0.6370233333333334,0.20406333333333337,0.054790000000000005,0.10412333333333335,0.9752431931232424,0.9849561886901567,0.11520752185428532,0.04000786800842603
10,First by Downing,2.2765,0.39081333333333335,7.0,0.0,0.3093533333333333,0.08146,0.18143,0.4277566666666667,0.9238251519918097,0.707509641847664,0.23311460137458642,0.4234760491105133
11,"First by Feld: 1.0, 0.5, 200",2.0255,0.33046,10.5,1.0,0.27413333333333334,0.056326666666666664,0.13785,0.53169,0.8815506922741227,0,0.8157584628923586,0
12,First by Tullock,1.876,0.34612,9.0,1.0,0.27640666666666663,0.06971333333333334,0.09614666666666667,0.5577333333333333,0.8376763789707478,0.5457433197164879,0.621334094354798,0.10286578748506162
13,First by Joss: 0.9,1.8566666666666667,0.33408,11.5,1.0,0.27449666666666667,0.05958333333333333,0.09299333333333333,0.5729266666666667,0.8978574137498551,0,0.9007516441036014,0
14,First by Anonymous,1.7321666666666666,0.4992666666666667,4.0,0.5006666666666667,0.17864333333333335,0.32062333333333337,0.17913666666666667,0.32159666666666664,0.49301136583041305,0.49841122724992526,0.5011118846208441,0.5054716349040259
15,Random: 0.5,1.7293333333333334,0.49917333333333336,4.0,0.518,0.17881333333333332,0.32036,0.17928333333333332,0.32154333333333335,0.4996878495440405,0.49750258794695423,0.5028885988606192,0.49652238028521933
